epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3656.83,0.2923,0.25936,0.78593,0.99577,0.99539,0.99478,0.95214,0.24525,0.21306,0.76728,0.000146901,0.000146901,0.000146901
60,3719.76,0.29401,0.2598,0.78755,0.99605,0.99486,0.99477,0.95176,0.25118,0.21573,0.76797,0.000143486,0.000143486,0.000143486
61,3784.29,0.29113,0.25772,0.78607,0.99573,0.9951,0.99479,0.95344,0.24405,0.21476,0.76706,0.00014007,0.00014007,0.00014007
62,3846.96,0.29325,0.25602,0.78742,0.99658,0.99437,0.99474,0.95339,0.24874,0.21259,0.76732,0.000136655,0.000136655,0.000136655
63,3910.8,0.28808,0.25436,0.78544,0.99691,0.99456,0.99469,0.95148,0.24796,0.21203,0.76722,0.000133239,0.000133239,0.000133239
64,3974.82,0.28977,0.25461,0.78611,0.99588,0.99488,0.99476,0.95316,0.24623,0.21245,0.76743,0.000129824,0.000129824,0.000129824
65,4037.63,0.2866,0.25249,0.7857,0.99606,0.9958,0.99481,0.95317,0.2515,0.21325,0.76772,0.000126408,0.000126408,0.000126408
66,4099.78,0.28731,0.25301,0.78579,0.99664,0.99518,0.99478,0.95336,0.24759,0.20952,0.7673,0.000122992,0.000122992,0.000122992
67,4162.38,0.28511,0.25013,0.786,0.99568,0.9949,0.99483,0.9536,0.24389,0.20873,0.76703,0.000119577,0.000119577,0.000119577
68,4224.12,0.28318,0.24851,0.78496,0.99585,0.99505,0.99476,0.95391,0.24125,0.20672,0.76689,0.000116161,0.000116161,0.000116161
69,4290.77,0.28596,0.25025,0.78596,0.99621,0.99482,0.99477,0.95452,0.24337,0.20769,0.76677,0.000112746,0.000112746,0.000112746
70,4363.03,0.28479,0.24823,0.78505,0.99648,0.99478,0.9948,0.95463,0.24208,0.20641,0.76695,0.000109331,0.000109331,0.000109331
71,4429.87,0.28226,0.2461,0.7849,0.99558,0.99523,0.99483,0.9535,0.24625,0.20728,0.76717,0.000105915,0.000105915,0.000105915
72,4495,0.28489,0.24685,0.78492,0.99581,0.99422,0.99476,0.95689,0.23775,0.20587,0.76661,0.0001025,0.0001025,0.0001025
73,4559.32,0.28109,0.24438,0.78469,0.99592,0.99464,0.99481,0.95472,0.24149,0.20503,0.76665,9.9084e-05,9.9084e-05,9.9084e-05
74,4631.68,0.28136,0.24445,0.78518,0.99572,0.9953,0.99483,0.95397,0.24343,0.20614,0.76692,9.56685e-05,9.56685e-05,9.56685e-05
75,4698.7,0.28065,0.2428,0.78425,0.99644,0.99543,0.9948,0.95402,0.24144,0.20333,0.76667,9.2253e-05,9.2253e-05,9.2253e-05
76,4763.7,0.28095,0.2425,0.78439,0.99592,0.99524,0.99477,0.95436,0.24276,0.20377,0.76668,8.88375e-05,8.88375e-05,8.88375e-05
77,4825.99,0.28088,0.24233,0.78403,0.99601,0.99529,0.99473,0.95569,0.23933,0.20192,0.7665,8.5422e-05,8.5422e-05,8.5422e-05
78,4891.44,0.27931,0.24034,0.78461,0.99655,0.9954,0.99474,0.95518,0.24146,0.20126,0.76672,8.20065e-05,8.20065e-05,8.20065e-05
79,4958.08,0.27758,0.2389,0.78467,0.99488,0.9955,0.9948,0.95547,0.24248,0.20213,0.76664,7.8591e-05,7.8591e-05,7.8591e-05
80,5023.84,0.27778,0.23841,0.78441,0.99616,0.9953,0.9948,0.95514,0.24529,0.20143,0.76678,7.51755e-05,7.51755e-05,7.51755e-05
81,5089.41,0.27854,0.23779,0.784,0.99625,0.99505,0.99482,0.9549,0.24223,0.20127,0.7664,7.176e-05,7.176e-05,7.176e-05
82,5155.42,0.27679,0.23656,0.7846,0.9969,0.99452,0.99479,0.95633,0.23976,0.1993,0.76632,6.83445e-05,6.83445e-05,6.83445e-05
83,5220.22,0.27859,0.23822,0.78442,0.99632,0.99523,0.99477,0.95326,0.24757,0.2024,0.76706,6.4929e-05,6.4929e-05,6.4929e-05
84,5284.57,0.27612,0.23709,0.78472,0.99583,0.9953,0.99479,0.95595,0.24078,0.19919,0.76629,6.15135e-05,6.15135e-05,6.15135e-05
85,5349.2,0.27567,0.23538,0.78392,0.99654,0.99457,0.99478,0.95581,0.23793,0.19771,0.76622,5.8098e-05,5.8098e-05,5.8098e-05
86,5413.17,0.27616,0.23548,0.78394,0.99652,0.99517,0.99477,0.95624,0.23953,0.19868,0.76637,5.46825e-05,5.46825e-05,5.46825e-05
87,5482.62,0.27568,0.23412,0.78325,0.9965,0.99495,0.99479,0.95543,0.23886,0.19744,0.76612,5.1267e-05,5.1267e-05,5.1267e-05
88,5547.74,0.27641,0.23477,0.78473,0.99617,0.99499,0.99481,0.95674,0.2388,0.19677,0.76628,4.78515e-05,4.78515e-05,4.78515e-05
89,5616.51,0.27288,0.23284,0.78398,0.99637,0.99488,0.99481,0.95505,0.24135,0.19764,0.76631,4.4436e-05,4.4436e-05,4.4436e-05
90,5683.51,0.27287,0.23213,0.78377,0.99633,0.99525,0.9948,0.95738,0.23879,0.19666,0.76615,4.10205e-05,4.10205e-05,4.10205e-05
91,5747.2,0.26717,0.23426,0.77754,0.99509,0.99521,0.99475,0.95185,0.25269,0.2066,0.76612,3.7605e-05,3.7605e-05,3.7605e-05
92,5810.5,0.25554,0.22173,0.77635,0.99609,0.99491,0.99478,0.95475,0.24489,0.20098,0.76563,3.41895e-05,3.41895e-05,3.41895e-05
93,5879.19,0.25262,0.21825,0.77665,0.99543,0.99523,0.99479,0.95543,0.24413,0.19973,0.76574,3.0774e-05,3.0774e-05,3.0774e-05
94,5939.46,0.2518,0.21702,0.77631,0.99542,0.99536,0.99479,0.95493,0.24453,0.19852,0.76577,2.73585e-05,2.73585e-05,2.73585e-05
95,6002.51,0.25009,0.21451,0.77678,0.99603,0.9954,0.99478,0.95564,0.24444,0.19748,0.7659,2.3943e-05,2.3943e-05,2.3943e-05
96,6061.28,0.24911,0.21379,0.77634,0.99592,0.99537,0.9948,0.95497,0.24222,0.19632,0.76579,2.05275e-05,2.05275e-05,2.05275e-05
97,6119.13,0.2486,0.2128,0.77538,0.99606,0.99494,0.9948,0.95529,0.2415,0.19592,0.76577,1.7112e-05,1.7112e-05,1.7112e-05
98,6177.95,0.24709,0.21146,0.7762,0.99581,0.99541,0.99481,0.95553,0.24087,0.19516,0.76566,1.36965e-05,1.36965e-05,1.36965e-05
99,6236.83,0.24657,0.21111,0.77641,0.9954,0.99564,0.99478,0.95637,0.24222,0.19527,0.76564,1.0281e-05,1.0281e-05,1.0281e-05
100,6299.71,0.24697,0.21084,0.77477,0.99581,0.9955,0.99478,0.95678,0.23906,0.19405,0.76546,6.8655e-06,6.8655e-06,6.8655e-06
