epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,4126.65,0.28562,0.192,0.8214,0.99984,1,0.995,0.97564,0.22704,0.15516,0.79716,0.000418069,0.000418069,0.000418069
65,4190.41,0.2889,0.19212,0.82047,0.99979,1,0.995,0.97537,0.23194,0.15371,0.79788,0.00040707,0.00040707,0.00040707
66,4253.81,0.29383,0.19326,0.82255,0.99982,1,0.995,0.97558,0.228,0.15485,0.79761,0.000396071,0.000396071,0.000396071
67,4315.73,0.28565,0.19027,0.82034,0.99981,1,0.995,0.97746,0.22716,0.15324,0.79772,0.000385073,0.000385073,0.000385073
68,4378.29,0.28071,0.18879,0.82069,0.99977,1,0.995,0.97734,0.22317,0.15261,0.79851,0.000374074,0.000374074,0.000374074
69,4442.02,0.28391,0.18985,0.81993,0.99974,1,0.995,0.97725,0.22542,0.15113,0.79931,0.000363075,0.000363075,0.000363075
70,4506.58,0.27647,0.18573,0.81722,0.99979,1,0.995,0.97814,0.22468,0.15069,0.79602,0.000352076,0.000352076,0.000352076
71,4570.89,0.27735,0.18559,0.81649,0.99979,1,0.995,0.97636,0.22346,0.14999,0.79609,0.000341077,0.000341077,0.000341077
72,4634.94,0.27859,0.18644,0.8184,0.99981,1,0.995,0.978,0.22122,0.14736,0.79586,0.000330078,0.000330078,0.000330078
73,4698.43,0.27187,0.18284,0.81648,0.9998,1,0.995,0.97786,0.22186,0.14758,0.79564,0.000319079,0.000319079,0.000319079
74,4762.96,0.27295,0.1828,0.81955,0.99968,1,0.995,0.97863,0.21663,0.14744,0.79528,0.00030808,0.00030808,0.00030808
75,4826.97,0.27661,0.18411,0.81722,0.99969,1,0.995,0.97856,0.21987,0.14628,0.7957,0.000297081,0.000297081,0.000297081
76,4889.09,0.26864,0.17909,0.81862,0.99968,1,0.995,0.97697,0.21883,0.14625,0.79479,0.000286083,0.000286083,0.000286083
77,4950.81,0.27349,0.18124,0.81786,0.99978,1,0.995,0.97697,0.22238,0.14709,0.79483,0.000275084,0.000275084,0.000275084
78,5013.71,0.26736,0.17832,0.81645,0.99975,1,0.995,0.9788,0.22019,0.14586,0.79544,0.000264085,0.000264085,0.000264085
79,5077.84,0.26747,0.17478,0.81583,0.99974,1,0.995,0.97813,0.21743,0.14415,0.79497,0.000253086,0.000253086,0.000253086
80,5141.02,0.26488,0.17608,0.81616,0.99962,1,0.995,0.97773,0.21454,0.14224,0.79536,0.000242087,0.000242087,0.000242087
81,5205.4,0.26631,0.17635,0.81678,0.99977,1,0.995,0.97906,0.21528,0.14313,0.79604,0.000231088,0.000231088,0.000231088
82,5268.28,0.25999,0.1743,0.81489,0.99979,1,0.995,0.97939,0.21453,0.13996,0.79473,0.000220089,0.000220089,0.000220089
83,5333.31,0.26726,0.17588,0.82021,0.99979,1,0.995,0.97866,0.21543,0.13925,0.79725,0.00020909,0.00020909,0.00020909
84,5399.8,0.26553,0.17296,0.81578,0.99971,1,0.995,0.97867,0.21248,0.13885,0.79484,0.000198091,0.000198091,0.000198091
85,5464.09,0.25929,0.17112,0.81608,0.99969,1,0.995,0.97855,0.2159,0.1358,0.79612,0.000187092,0.000187092,0.000187092
86,5527.39,0.26372,0.17213,0.81624,0.99978,1,0.995,0.97808,0.21427,0.13714,0.79751,0.000176094,0.000176094,0.000176094
87,5590.9,0.25534,0.16851,0.81693,0.99976,1,0.995,0.97891,0.21302,0.1367,0.79539,0.000165095,0.000165095,0.000165095
88,5655,0.25918,0.16988,0.81736,0.99974,1,0.995,0.97904,0.20881,0.13414,0.79447,0.000154096,0.000154096,0.000154096
89,5719.07,0.25318,0.16762,0.8116,0.99974,1,0.995,0.97877,0.21396,0.13693,0.79624,0.000143097,0.000143097,0.000143097
90,5780.49,0.2568,0.16797,0.81596,0.9998,1,0.995,0.97783,0.21198,0.13321,0.79626,0.000132098,0.000132098,0.000132098
91,5840.19,0.23254,0.14711,0.78591,0.99979,1,0.995,0.97703,0.2114,0.13709,0.79624,0.000121099,0.000121099,0.000121099
92,5902.58,0.22989,0.1438,0.78934,0.99977,1,0.995,0.9779,0.21101,0.13562,0.79631,0.0001101,0.0001101,0.0001101
93,5964.1,0.22792,0.14326,0.78972,0.99976,1,0.995,0.97795,0.2132,0.13594,0.7967,9.91012e-05,9.91012e-05,9.91012e-05
94,6025.46,0.22731,0.14137,0.78554,0.99974,1,0.995,0.97842,0.21091,0.13311,0.79669,8.81023e-05,8.81023e-05,8.81023e-05
95,6085.89,0.22344,0.13835,0.78788,0.99975,1,0.995,0.97916,0.20725,0.13014,0.79645,7.71034e-05,7.71034e-05,7.71034e-05
96,6147.11,0.22249,0.13701,0.78446,0.99975,1,0.995,0.97894,0.20813,0.13078,0.79564,6.61045e-05,6.61045e-05,6.61045e-05
97,6208.46,0.22248,0.13557,0.78426,0.99975,1,0.995,0.97914,0.20605,0.12944,0.79523,5.51056e-05,5.51056e-05,5.51056e-05
98,6271.02,0.21977,0.13405,0.78655,0.99977,1,0.995,0.97914,0.20634,0.12909,0.79524,4.41067e-05,4.41067e-05,4.41067e-05
99,6333.12,0.21625,0.13172,0.78779,0.99976,1,0.995,0.97959,0.20522,0.12603,0.79504,3.31078e-05,3.31078e-05,3.31078e-05
100,6395.45,0.21514,0.13105,0.78748,0.99973,1,0.995,0.97946,0.20398,0.1262,0.79489,2.21089e-05,2.21089e-05,2.21089e-05
